ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9786555980929;Bruxa Natural: 1 Capa dura;15/04/2021; Arin Murphy-Hiscock ;Darkside Books - Magicae;Português;Darkside ;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;12/11/2025;
9788594541475;Lady Killers: Assassinas em Série Capa dura;24/01/2019;Tori Telfer ;Darkside Books - Crime Scene;Português;Darkside ;Usado; R$ 35,00 ;1; R$ 11,67 ;12/11/2025;12/11/2025;
9788542214369;O dilema do porco-espinho: Como encarar a solidão Capa comum;20/10/2018; Leandro Karnal;Planeta;Português;Letra do autor;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9788535935516;Sempre Paris: Crônica de uma cidade, seus escritores e artistas - Capa comum ;24/10/2023; Rosa Freire d’Aguiar;Companhia das Letras;Português;Letra do autor;Novo; R$ 55,00 ;1; R$ 18,33 ;12/11/2025;15/11/2025;
9788578130725;Abençoadas Marias Capa comum ;31/08/2012;Vanir Mattos Torres;Lúmen;Português;Religião;Usado; R$ 20,00 ;1; R$ 6,67 ;12/11/2025;Verificar estoque;
9788571645400;O dia do curinga Capa comum;12/04/1996;Jostein Gaarder;Seguinte;Português;Filosofia;Usado; R$ 50,00 ;1; R$ 16,67 ;12/11/2025;Verificar estoque;
9788564564022;Negros indícios : perfomance vídeo fotografia - Capa Comum;01/01/2017;Roberto Conduru;Espaço Donas Marcianas;Português;Letra do autor;Usado; R$ 55,00 ;1; R$ 18,33 ;12/11/2025;15/11/2025;
9788501058485;Mais Platão, menos Prozac Capa comum;05/02/2001;Lou Marinoff ;Record;Português;Filosofia;Usado; R$ 35,00 ;1; R$ 11,67 ;12/11/2025;15/11/2025;
9788587393920;Analisando Problemas De Performance  Capa comum;01/01/2001;Robert F. Mager E Peter Pipe ; Market Books;Português;Letra do autor;Usado; R$ 55,00 ;1; R$ 18,33 ;12/11/2025;15/11/2025;
9788595201170;Pollyanna Livro 1 de 2  - Capa comum;01/01/2023;Eleanor H Porter ;Pé da Letra;Português;Letra do autor Paradidático;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;15/11/2025;
9788595201729;Pollyanna Moça Capa comum ;18/07/2019;Eleanor H Porter ;Pé da Letra;Português;Letra do autor Paradidático;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;15/11/2025;
9788581301570;Holocausto brasileiro: Genocídio: 60 mil mortos no maior hospício do Brasil  Capa  Comum;01/06/2013;Daniela Arbex;Geração Editorial;Português;Letra do autor;Usado; R$ 40,00 ;1; R$ 13,33 ;12/11/2025;15/11/2025;
9788536326474;Medidas de Avaliação em Treinamento, Desenvolvimento e Educação: Ferramentas para Gestão de Pessoas Capa comum;01/01/2012;Gardênia da Silva Abbad ;Artmed;Português;Letra do autor;Usado; R$ 140,00 ;1; R$ 46,67 ;12/11/2025;15/11/2025;
9780937100080;Performance Management: Changing Behavior that Drives Organizational Effectiveness Capa dura;01/07/2004; Aubrey C. Daniels (e  Theodore A. Rosen;Performance Management Pub;Inglês;Sessão Inglês;Usado; R$ 210,00 ;1; R$ 70,00 ;12/11/2025;15/11/2025;
9780071482660;Measure of a Leader  Edição Inglês Capa dura;01/01/2007; Aubrey Daniels e James Daniels;McGraw-Hill Companies;Inglês;Sessão Inglês;Usado; R$ 175,00 ;1; R$ 58,33 ;12/11/2025;15/11/2025;
9788577531639;Pedagogia da autonomia Capa comum;07/02/1997; Paulo Freire;Paz & Terra;Português;Pedagogia;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;15/11/2025;
9788582890882;Gamification -  Capa comum;15/09/2014;Flora Alves;DVS;Português;Emprrendedorismo;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;15/11/2025;
9780787900908;Improving Performance Capa Dura;12/05/1995; Geary A. Rummler e Alan P. Brache;John Wiley & Sons;Inglês;Sessão Inglês;Usado; R$ 93,00 ;1; R$ 31,00 ;12/11/2025;15/11/2025;
